ID_Karyawan,USIA,Generasi,Status Pegawai New,Tingkatan Jabatan,Jabatan,Unit Bisnis,Lokasi Kerja,"Tgl Mulai Bekerja
(Dd/Mm/Yyyy) New",Rincian Masa Kerja New,Tanggal Berakhir Kontrak,Status Terminasi,Tanggal Terminasi (Dd/Mm/Yyyy),Status_Label,Is_Resign,Tingkatan_Jabatan_New,USIA_CLEAN,Usia_Masuk,Lokasi Kerja Group
KFA-10014,"23 Tahun, 4 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,CIREBON,KF CILIMUS,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10015,"23 Tahun, 5 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BEKASI,KF.CITRA GRAND,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10016,"24 Tahun, 2 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,NUSA DUA,KF.0598 KEDONGANAN,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10017,"25 Tahun, 4 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,CIREBON,KF Sultan Ageng,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10018,"23 Tahun, 8 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,CIREBON,KF.0369 TUPAREV,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10019,"23 Tahun, 10 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,TANJUNG PINANG,KF Pemuda Tanjung Pinang,2023-11-21,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10020,"24 Tahun, 8 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BANDUNG,APOTEK KF. LEMBANG,2023-10-23,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10021,"27 Tahun, 1 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,SUKABUMI,KF 0408 CIAMACAN,2023-12-29,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10022,"27 Tahun, 10 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,DEPOK,KF.0389,2023-10-20,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10023,"28 Tahun, 4 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,TASIKMALAYA,KF.0377 GARUT 2,2023-07-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10024,"40 Tahun, 0 Bulan",Millennials,PKWTT,PELAKSANA,PELAKSANA LAYANAN FARMASI,RS JAKARTA,KF.PEL001 RSUP DR. CIPTO MANGU,2020-01-01,5.0,,PENGUNDURAN DIRI,1970-01-01 00:00:00.000045291,RESIGN,1,5,40.0,39.583333333333336,OTHER_LOCATION
KFA-10025,"47 Tahun, 10 Bulan",Generasi X,PKWTT,ASISTEN MANAGER,PHARMACY MANAGER,KENDARI,KF BULOG,2022-09-01,3.0,,PENGUNDURAN DIRI,1970-01-01 00:00:00.000045291,RESIGN,1,3,47.0,46.75,OTHER_LOCATION
KFA-10026,"25 Tahun, 2 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SUKABUMI,KF.0317,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10027,"30 Tahun, 3 Bulan",Millennials,PKWT,PELAKSANA,PHARMACY MANAGER,SURABAYA,KF Sumenep 2,2023-07-03,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,30.0,29.833333333333332,OTHER_LOCATION
KFA-10028,"26 Tahun, 0 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SIDOARJO,KF.PANDAAN,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10029,"25 Tahun, 3 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,SIDOARJO,KF BANGIL,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10030,"26 Tahun, 9 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SAMARINDA,KF PALARAN (KF 930),2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10031,"24 Tahun, 4 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SAMARINDA,KF LOA JANAN (KF 907),2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10032,"26 Tahun, 11 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYA 2,KF.0359 OTISTA,2023-08-28,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10033,"26 Tahun, 8 Bulan",Generasi Z,PKWT,PELAKSANA,PHARMACY MANAGER,PALANGKARAYA,KF Kobar,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10034,"28 Tahun, 1 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,PALANGKARAYA,KF Kobar,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10035,"28 Tahun, 3 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,PALANGKARAYA,KF Kobar,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10036,"24 Tahun, 6 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,PADANG,KF.PEL011 RSUP DR. M.JAMIL PAD,2023-10-24,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10037,"58 Tahun, 2 Bulan",Generasi X,PKWT,PELAKSANA,SUPERVISOR PELAYANAN FARMASI,DENPASAR,KF.0034,2023-08-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,58.0,57.833333333333336,KF.0034
KFA-10038,"25 Tahun, 5 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,JAYA 2,KF EXPRESS TERMINAL 3 INTERNASIONAL,2023-09-21,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10039,"26 Tahun, 9 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYA 1,KF.0447 CIRENDEU,2023-06-08,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10040,"23 Tahun, 0 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,DENPASAR,KF UBUD RAYA,2023-11-01,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10041,"25 Tahun, 10 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BANDUNG,KF Padasuka,2023-10-23,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10042,"27 Tahun, 6 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BANDUNG,KF LENGKONG,2023-10-23,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10043,"26 Tahun, 5 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA SUPPLIER FULFILLMENT,KFA PUSAT,Unit Supplier Fulfillment,2023-11-13,2.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10044,"27 Tahun, 11 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,CIREBON,KF CIPTO,2015-10-13,10.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,27.0,26.166666666666668,OTHER_LOCATION
KFA-10045,"27 Tahun, 2 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,BEKASI,KF.0583  PASADENA,2017-09-21,8.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,27.0,26.333333333333332,OTHER_LOCATION
KFA-10046,"31 Tahun, 1 Bulan",Millennials,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,SEMARANG,KF.0153,2013-09-02,12.0,,AKTIF,1970-01-01 00:00:00.000045260,AKTIF,0,5,31.0,30.0,OTHER_LOCATION
KFA-10047,"27 Tahun, 7 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,PEKANBARU,KF.0614 HARAPAN,2023-09-30,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10048,"31 Tahun, 10 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,PADANG,KF.0146,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,31.0,30.833333333333332,OTHER_LOCATION
KFA-10049,"24 Tahun, 11 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,CILEGON,KF A. YANI PANDEGLANG,2023-09-14,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10050,"24 Tahun, 9 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,GRESIK,KF.0643 MANYAR,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10051,"22 Tahun, 11 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,GRESIK,KF.0492 BUNDER,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,22.0,21.833333333333332,OTHER_LOCATION
KFA-10052,"24 Tahun, 9 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SAMARINDA,KF AGUS SALIM (KF 138),2023-07-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10053,"24 Tahun, 6 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYA 1,KF.0152 PS MINGGU,2023-06-12,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10054,"26 Tahun, 5 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,MEDAN,KF.0315 SIPUAN,2023-08-23,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10055,"24 Tahun, 7 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,DEPOK,KF.0143,2023-08-16,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10056,"28 Tahun, 4 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BOGOR,KF CIBANTENG,2023-06-23,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10057,"26 Tahun, 3 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BOGOR,KF.0110,2023-10-05,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10058,"27 Tahun, 0 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA ADM. PIUTANG & INKASO,JAYA 1,UNIT BISNIS JAYA 1,2022-10-31,3.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,27.0,26.75,OTHER_LOCATION
KFA-10059,"25 Tahun, 1 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,DENPASAR,KF BITUBULAN,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10060,"28 Tahun, 11 Bulan",Millennials,PKWT,PELAKSANA,APOTEKER PENDAMPING,DENPASAR,KF.0532 SINGA2,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10061,"27 Tahun, 11 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BANDUNG,KF CIHANJUANG,2023-08-22,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10062,"25 Tahun, 11 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BEKASI,KF Mekarsari Baru,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10063,"28 Tahun, 6 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,TASIKMALAYA,APOTEK KF. SINGAPARNA,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10064,"29 Tahun, 3 Bulan",Millennials,PKWT,PELAKSANA,APOTEKER PENDAMPING,TASIKMALAYA,KF. Moch. Hatta,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,29.0,28.833333333333332,OTHER_LOCATION
KFA-10065,"26 Tahun, 6 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,TASIKMALAYA,KF.0377 GARUT 2,2023-10-01,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10066,"24 Tahun, 4 Bulan",Generasi Z,PKWT,SUPERVISOR,SUPERVISOR MARKETING DESIGNER,KFA PUSAT,Unit Marketing,2023-10-16,2.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,4,24.0,23.833333333333332,OTHER_LOCATION
KFA-10067,"27 Tahun, 8 Bulan",Generasi Z,PKWTT,PELAKSANA,SUPERVISOR DATA INTREGATOR,KFA PUSAT,Unit Information Technology,2017-02-15,8.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,27.0,26.333333333333332,OTHER_LOCATION
KFA-10068,"28 Tahun, 1 Bulan",Generasi Z,PKWT,PELAKSANA,PELAKSANA INVENTORY MANAGEMENT,KFA PUSAT,Unit Digital Channel,2022-11-01,3.0,,AKTIF,1970-01-01 00:00:00.000045230,AKTIF,0,5,28.0,27.75,OTHER_LOCATION
KFA-10069,"30 Tahun, 0 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SUKABUMI,KF.0335 CICURUG,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,30.0,29.833333333333332,OTHER_LOCATION
KFA-10070,"26 Tahun, 1 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SORONG,KF.JUPITER,2023-06-28,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10071,"29 Tahun, 7 Bulan",Millennials,PKWT,PELAKSANA,APOTEKER PENDAMPING,SURABAYA,KF Manukan Lor,2020-06-01,5.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,29.0,28.583333333333332,OTHER_LOCATION
KFA-10072,"25 Tahun, 0 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,GRESIK,KF GKB,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10073,"25 Tahun, 10 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,PADANG,KF.LUBUK BEGALUNG,2023-08-15,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10074,"31 Tahun, 5 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,LAMPUNG,KF.0285 WAY HALIM,2023-08-30,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,31.0,30.833333333333332,OTHER_LOCATION
KFA-10075,"24 Tahun, 9 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,LAMPUNG,KF PRINGSEWU LAMPUNG,2023-08-30,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
KFA-10076,"33 Tahun, 8 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYAPURA,KF.PEL062 RSUD JAYAPURA,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,33.0,32.833333333333336,OTHER_LOCATION
KFA-10077,"25 Tahun, 7 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BOGOR,KF.0007 JUANDA,2023-05-24,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,25.0,24.833333333333332,KF.0007 JUANDA
KFA-10078,"34 Tahun, 3 Bulan",Millennials,PKWT,PELAKSANA,APOTEKER PENDAMPING,BEKASI,KF JGC BEKASI,2023-08-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,34.0,33.833333333333336,OTHER_LOCATION
KFA-10079,"29 Tahun, 4 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BATAM,KF.0463 BENGKONG,2023-07-19,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,29.0,28.833333333333332,OTHER_LOCATION
KFA-10080,"30 Tahun, 8 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BANJARMASIN,KF.546 SUTOYO,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,30.0,29.833333333333332,OTHER_LOCATION
KFA-10081,"22 Tahun, 9 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,BANDUNG,KF.CIUMBULEUIT,2022-07-12,3.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,22.0,21.75,OTHER_LOCATION
KFA-10082,"26 Tahun, 2 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA MERCHANDISE,KFA PUSAT,Unit Merchandising,2023-06-08,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,26.0,25.833333333333332,Unit Merchandising
KFA-10083,"26 Tahun, 9 Bulan",Generasi Z,PKWT,PELAKSANA,PHARMACY MANAGER,TASIKMALAYA,KF LELES,2023-07-20,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10084,"26 Tahun, 4 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,SORONG,KF AIMAS,2023-08-07,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10085,"30 Tahun, 7 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA HC TALENT & DEVELOPMENT,KFA PUSAT,Unit HCBP & General Affairs,2023-08-10,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,30.0,29.833333333333332,Unit HCBP & General Affairs
KFA-10086,"26 Tahun, 11 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BANJARMASIN,APOTEK KF 0732 PELAIHA,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10087,"28 Tahun, 1 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BOGOR,KF BOJONG GEDE,2023-05-29,2.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10088,"22 Tahun, 10 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,BALIKPAPAN,KF BONSAY,2022-05-14,3.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,22.0,21.75,OTHER_LOCATION
KFA-10089,"24 Tahun, 5 Bulan",Generasi Z,PKWT,PELAKSANA,PHARMACY MANAGER,BOGOR,KF.0655 KUSMAYADI,2021-06-17,4.0,,AKTIF,1970-01-01 00:00:00.000045199,AKTIF,0,5,24.0,23.666666666666668,OTHER_LOCATION
KFA-10090,"28 Tahun, 10 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,YOGYAKARTA,KF.0070,2023-06-12,2.0,,AKTIF,1970-01-01 00:00:00.000045169,AKTIF,0,5,28.0,27.833333333333332,KF.0070
KFA-10091,"26 Tahun, 10 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,CILEGON,KF.0253,2023-06-09,2.0,,AKTIF,1970-01-01 00:00:00.000045169,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
